redis-cli,tranquility,s3
0.005,0.016,0.035
0.005,0.014,0.046
0.005,0.014,0.034
0.005,0.014,0.036
0.005,0.014,0.029
0.005,0.014,0.033
0.005,0.014,0.035
0.005,0.015,0.033
0.005,0.014,0.029
0.005,0.014,0.038
